#,Música,Artista,Popularidade,BPM,Gêneros,Álbum,Data do Álbum,Duração,Duração_segundos,Dançabilidade,Energia,Acústica,Instrumentalidade,Valência,Fala,Ao Vivo,Volume (Db),Tom,Compasso,Adicionado em,Spotify Track Id,Camelot,ISRC,Explícito
45,"Palisades, CA","Larry June,The Alchemist,Big Sean",50,130,"hip hop alternativo, jazz rap, rap experimental, boom bap, rap",The Great Escape,2023-03-31,03:14,194,71,74,7,0,68,20,30,-9,C Minor,4,2026-07-17,70wd1fE44Rb9mnZMaApmkc,5A,USUYG1466981,yes
46,"Run, Run, Run",McKinley Dixon,49,112,"jazz rap, rap experimental, rap",Beloved! Paradise! Jazz!?,2023-06-02,03:02,182,67,89,28,0,73,10,20,-4,C Major,4,2026-07-17,7gwO0ePo0xG2qjvQTgJvRJ,8B,DED620072920,yes
47,Fighting My Demons,Ken Carson,73,142,"rage rap, rap",A Great Chaos,2023-10-13,02:30,150,52,66,0,0,4,0,40,-5,C♯/D♭ Major,4,2026-07-17,2c7sRekhMGlj7u1WIIzoQu,3B,USUM72314187,yes
48,SkeeYee,Sexyy Red,65,83,rap,Hood Hottest Princess,2023-06-09,02:37,157,77,69,3,0,65,0,60,-5,C♯/D♭ Major,4,2026-07-17,7icwQvajsokotDfM3tefW6,3B,QZQAY2395569,yes
49,From Hotel 1105 With Love,D2x,23,75,"rap, hip-hop",Hotel 1105,2023-08-23,05:10,310,45,77,45,0,60,30,40,-5,C♯/D♭ Major,4,2026-07-17,4bjzAUoQyyQHP5X8WfoJUn,3B,QZNWX2350289,no
50,FaceTime,"billy woods,Kenny Segal,Samuel T. Herring",42,139,"rap experimental, hip hop alternativo, east coast hip hop, experimental, hip hop underground, jazz rap, rap",Maps,2023-05-05,03:32,212,60,82,8,0,58,20,30,-7,F#/G♭ Minor,4,2026-07-17,0b2b3WzP0QxuA0R7mKg9CL,11A,QM4TX2339900,no
51,This Is Why,Paramore,64,123,"pop punk, emo",This Is Why,2023-02-10,03:27,207,73,81,0,0,63,0,10,-5,D Major,4,2026-07-17,7HdXRMw14roDx2a0COWk3M,10B,USAT22215020,no
52,Sweet Sounds Of Heaven (feat. Lady Gaga),"The Rolling Stones,Lady Gaga",49,131,"rock clássico, rock, art pop, pop",Hackney Diamonds,2023-10-20,07:22,442,45,67,1,0,30,0,10,-5,F Major,3,2026-07-17,0PyGmZCJ65xZBhXqCGYWlC,7B,GBUM72302312,no
53,Cosmic,Avenged Sevenfold,60,127,"metal, metal alternativo",Life Is But a Dream…,2023-06-02,07:31,451,27,72,0,1,16,0,10,-8,A Major,4,2026-07-17,1xA87lWGnZlIjG8tw4327F,11B,USWB12207177,no
54,72 Seasons,Metallica,57,168,"metal, thrash metal, rock, heavy metal, hard rock",72 Seasons,2023-04-14,07:39,459,19,98,0,4,39,0,0,-4,A Major,4,2026-07-17,3uSATa7xWXVJrMhJJSnGGk,11B,QMKHM2200016,no
55,Emotion Sickness,Queens of the Stone Age,49,122,"stoner rock, rock alternativo",In Times New Roman...,2023-06-16,04:31,271,48,45,0,0,68,0,70,-6,E Major,4,2026-07-17,5a8V2ZeVLj8ktvodCa1m80,12B,USMTD2200636,yes
56,The Teacher,Foo Fighters,48,149,"post-grunge, rock, rock alternativo, grunge",But Here We Are,2023-06-02,10:04,604,20,91,0,4,14,0,50,-6,E Minor,4,2026-07-17,7buGBnA0vkYulQafSZnpHx,9A,USRW32300024,no
57,Not Strong Enough,"boygenius,Julien Baker,Phoebe Bridgers,Lucy Dacus",73,127,"folk ambiente, rock, folk",the record,2023-03-31,03:54,234,50,80,0,0,31,0,10,-6,C♯/D♭ Major,4,2026-07-17,09DR0sHnQUhHOiSNttc1mv,3B,USUG12209242,no
58,Meeting The Master,Greta Van Fleet,55,148,rock,Starcatcher,2023-07-21,05:12,312,21,65,10,0,10,0,10,-4,F#/G♭ Major,4,2026-07-17,6jXwOrrBoutMICNxckeDNQ,2B,USUM72304921,no
